experiment_name,experiment_type,generation_length,num_requests,source_path,round_trip_time_mean,round_trip_time_std,round_trip_time_min,round_trip_time_max,round_trip_time_median,round_trip_time_p95,round_trip_time_p99,server_processing_duration_mean,server_processing_duration_std,server_processing_duration_min,server_processing_duration_max,server_processing_duration_median,server_processing_duration_p95,server_processing_duration_p99,inference_duration_mean,inference_duration_std,inference_duration_min,inference_duration_max,inference_duration_median,inference_duration_p95,inference_duration_p99,preprocess_duration_mean,preprocess_duration_std,preprocess_duration_min,preprocess_duration_max,preprocess_duration_median,preprocess_duration_p95,preprocess_duration_p99,postprocess_duration_mean,postprocess_duration_std,postprocess_duration_min,postprocess_duration_max,postprocess_duration_median,postprocess_duration_p95,postprocess_duration_p99,total_network_latency_mean,total_network_latency_std,total_network_latency_min,total_network_latency_max,total_network_latency_median,total_network_latency_p95,total_network_latency_p99,num_generated_notes_mean,num_generated_notes_std
local_direct_final_test,bulk_benchmark,1,900,experiments/local_direct_final,0.027888058199055654,0.0010449544096772525,0.0265302500047255,0.0336727430112659,0.02768876950722185,0.02953992607071992,0.03263378373318113,0.025295208346635418,0.0009019289387494168,0.02398741102661,0.0313087519898545,0.02517219449509865,0.026564358899486214,0.029988070495019156,0.023606303801093877,0.0008172260009202569,0.022195269993972,0.0297669789870269,0.0234814715076936,0.02453274859290103,0.0279882635566173,0.0013706892876264468,0.0002280236857185988,0.001068904006388,0.0031820259755477,0.0013181139947846,0.0018059266629279187,0.0021107158623635595,0.00026263793121966423,3.2026591981549157e-05,0.0001877860049717,0.0004852830024901,0.00025863100017885,0.000317613557854125,0.000369565901346467,0.002592849852420185,0.0003840441173837417,0.0018800680118147,0.0060203660104889,0.0025313474907306,0.0032069603563285843,0.003700244949723073,0.008888888888888889,0.0939131310489309
local_direct_final_test,bulk_benchmark,3,900,experiments/local_direct_final,0.06554666911193631,0.009400750014992474,0.0603756770142354,0.1175891419989056,0.062309701490448746,0.08442371097917196,0.11516971360048045,0.06325298676490392,0.009312694757181899,0.057936065015383,0.1151780030049849,0.06001095750252715,0.0822383371007163,0.11237989435350754,0.06149198791820603,0.009126507898789925,0.0562853740120772,0.112336326012155,0.05828206200385465,0.08046349188080054,0.10948695712926558,0.001303264716407234,0.0002536589103275009,0.0010692749929148,0.0032260000007227,0.0012271949963178,0.0017417029099305987,0.00235495183645975,0.0004048955181820028,6.251937995966059e-05,0.0003088579978793,0.0008810369763523,0.0003904530021827,0.0005124026356496999,0.000660803881473762,0.002293682347032347,0.00030484453527757907,0.0017142830183729,0.004763114004163,0.0022570650035049003,0.00275257805624271,0.003472077171900238,0.17444444444444446,0.6566272251564885
local_direct_final_test,bulk_benchmark,5,900,experiments/local_direct_final,0.0993988128331774,0.005356769880985743,0.0950724470021668,0.119350997993024,0.09740866949141486,0.11470151551766312,0.11834067098476224,0.09700225671866465,0.005304964565575229,0.0923815089918207,0.1172427870042156,0.0948770279937889,0.11217628664599025,0.11586117828876012,0.09508272736064906,0.005257014587880893,0.0906736900215037,0.1155720370006747,0.09296237349917644,0.11027904028160257,0.11378343312360807,0.0013443344981189215,0.0002564709867399595,0.0010651569755282,0.0024860310077201,0.0012533300032373,0.001876111447927454,0.0021602005779277,0.0005221740210738778,5.627355817776887e-05,0.0004131470050197,0.0007927090045996,0.0005064785073044999,0.0006294499995418999,0.000683990861289125,0.002396556114512702,0.0003216468223899389,0.0018031120125669,0.0054431780008599,0.0023701655009062,0.0029126248991815052,0.003401100614282702,0.1622222222222222,0.5856226595636381
local_direct_final_test,bulk_benchmark,7,900,experiments/local_direct_final,0.13576425321846422,0.007024937922373942,0.1294948779977858,0.1581778099935036,0.13281553999695456,0.15402788889041397,0.15724733562616167,0.1334207156843169,0.006977410803524981,0.126813773997128,0.1559625029913149,0.13047231749806085,0.1516391713477787,0.15468027032271492,0.13142088416003386,0.006926589183278485,0.1241059919993858,0.1539941289811395,0.12846249699941836,0.14945201861119128,0.15259635058522683,0.0013124841141203558,0.00026544785596004875,0.0010611299949232,0.0025513550208415,0.0011972534994128502,0.0019205923599655748,0.0021449824055888777,0.000636147107029956,6.121974358632256e-05,0.0005247079825494,0.0009630319837015,0.00062116699700705,0.0007550141162937149,0.000837619203084587,0.0023435375341472444,0.0003477107106437612,0.0017863799585029,0.0040628009883221,0.0023039430088828503,0.003007790821720775,0.003556556768598956,0.25222222222222224,0.7500430507151512
local_direct_final_test,bulk_benchmark,9,900,experiments/local_direct_final,0.1730123980563884,0.009943046746608513,0.1644071059999987,0.2118483079830184,0.16845127998385576,0.19411354374315118,0.20702350933337574,0.17054631180197855,0.00993943092648664,0.1618138530175201,0.2097477830247953,0.1659192824736237,0.1916258096243837,0.2046238865389023,0.16840360877104105,0.009903846698654366,0.1594588610169012,0.2077605829981621,0.16370690200710664,0.18941625634324735,0.20244036504882384,0.0013294255517797766,0.00022709808782762263,0.001007225975627,0.0025516160239931,0.0012844584853155,0.0017767839482984594,0.002093241058464591,0.0007608612297593844,6.360591587738946e-05,0.0006092800176702,0.0011088800092693,0.00074842000321945,0.0008837991030304599,0.000957792831468338,0.002466086254409829,0.0003330825259110724,0.0018286810081917,0.0040086189692374,0.0024357500078621497,0.0030934864131267645,0.0034645883136545028,0.4722222222222222,1.0788210697361893
local_direct_final_test,bulk_benchmark,11,900,experiments/local_direct_final,0.20854525653325254,0.01080910838133625,0.1965587919985409,0.2434977589873597,0.20401758448861068,0.23286504639836486,0.24142347208486167,0.20620350314999492,0.010761696940113473,0.1944800339988432,0.2411103259946685,0.2015825099952053,0.23028187220770624,0.2392648607579758,0.2040562387565539,0.01071380207658797,0.1925111380114685,0.2388697009882889,0.1993682164902566,0.22786177058733298,0.23698494484036928,0.0012420056993141262,0.0001558174503278842,0.001012086024275,0.0021881939901504,0.0011843885149573,0.0015411867701913898,0.0018746311246649729,0.0008573071342349175,6.488302601750747e-05,0.0006757460068911,0.0011829100258182,0.0008463999984087,0.000980908812198285,0.00108648425899439,0.002341753383257584,0.0003267870206192107,0.0018395909864921,0.0037025359924882,0.0022793425159760997,0.0030194958177161436,0.0034144739326437902,0.4588888888888889,1.0711500835760257
local_direct_final_test,bulk_benchmark,13,900,experiments/local_direct_final,0.2466859847028132,0.014836694879184868,0.2299359590106178,0.2966143260127865,0.24004637749749236,0.2803569635478197,0.29450166967551916,0.24406875815116413,0.014821786853909667,0.2270209929847624,0.2940612270031124,0.23740423000708685,0.27786138993542403,0.2919490962373674,0.2416964028945141,0.014765578751806396,0.2244761499750893,0.2917159740172792,0.23510473448550323,0.27562433782004514,0.2895080190995941,0.00133024365369536,0.0002784351711244013,0.0010251810017507,0.002992664987687,0.0012208680127514,0.001996169140329545,0.002304417249106305,0.000990291780294127,0.00011380040707365477,0.00078789901454,0.0033985379850491,0.0009686684934422,0.0011329155560814849,0.0012645284298923689,0.002617226551649009,0.00041746085089019845,0.0018609609978739,0.004339097009506,0.0025529230042593,0.0034531430166680147,0.0038854312989860507,0.6166666666666667,1.2920351538211634
local_direct_final_test,bulk_benchmark,15,900,experiments/local_direct_final,0.28372346375056723,0.016347841913846087,0.2658274320128839,0.3322662569989916,0.27606568099872675,0.3178810190103831,0.3284961304784519,0.2810816309091428,0.016303570686524074,0.2633132979972288,0.3291588290012441,0.27330243699543644,0.31533654953964285,0.32600558908306987,0.27851509784377415,0.016243517991989285,0.2606453619955573,0.3265160040173214,0.27076259200111963,0.3126000116884824,0.32300785695057127,0.0013779304593076636,0.0001805177830594271,0.0011098209943156,0.0026752409758046,0.00136464550450905,0.0016710129668353244,0.002007216856582025,0.0011327664949283961,8.948659874344036e-05,0.0009007229818962,0.0016855460125952,0.0011251450050622,0.0012819871539249549,0.0014268952663405031,0.0026418328414243774,0.0003274063903881833,0.0019378760189283,0.0042903760040644,0.0026105050055775,0.0032493471677298297,0.0035240019913180096,0.7933333333333333,1.4116786054138932
local_server_final_test,bulk_benchmark,1,900,experiments/local_server_final,0.11102983452340895,0.02542480059056906,0.0646339169470593,0.1849936670623719,0.10563418746460225,0.1714398274547419,0.18304689782089553,0.07665546337291336,0.013624991969010129,0.037263742997311,0.123904547013808,0.08300036797299976,0.0886655566166155,0.10264833598048424,0.07370234106757882,0.013602432399259618,0.0345363470260053,0.1206627300125546,0.0801327734952792,0.085632678042748,0.09971513901255084,0.0022968267100319387,0.0002706173597410997,0.0019438969902694,0.0042744930251501,0.00222804598161015,0.00271680100413499,0.0037462707393569137,0.0005270196212222316,5.7770215066093485e-05,0.0004244989831931,0.0010057979961857,0.0005122495058457999,0.0006207490689120999,0.0007894369168206359,0.03437437115049554,0.02446047314568101,0.0131767500424757,0.1136652430868707,0.0229868890019133,0.09692773188289715,0.10380072987056335,0.06222222222222222,0.43037551903081184
local_server_final_test,bulk_benchmark,3,900,experiments/local_server_final,0.11471305285451103,0.010724635766625376,0.1034145830199122,0.1540554160019382,0.11026314547052604,0.13699215000960976,0.14633320292574353,0.09112022972322946,0.008859592428305346,0.0835541280102916,0.1327688429737463,0.0868447850225493,0.1094634572946233,0.11754556006926571,0.08808255332884272,0.008830656900968322,0.0806339350529015,0.1296526459627784,0.0838263285113498,0.10648231240629678,0.11436849226476621,0.0020841394072501525,0.00021740473010609159,0.0018769979942589,0.0038323950138874,0.0020272975089027498,0.002432650155969835,0.003308926005847675,0.0008229302959645486,6.420026652617872e-05,0.0007345990161411,0.0016932970029301,0.0008084985311143,0.0009345889207906749,0.0010220000322442439,0.023592823131281526,0.006523221859187196,0.0155625328770838,0.0662840359145775,0.02198220448917705,0.03403581993188701,0.05696499721903819,0.10333333333333333,0.48491137683244245
