experiment_name,generation_ticks,inference_interval,percentile,rtt_percentile_ms,constraint1_satisfied,constraint2_satisfied,both_satisfied,constraint_status
local_direct_final_test,6.0,4,95,232.86504639836485,True,True,True,0
local_direct_final_test,6.0,4,99,241.4234720848617,True,True,True,0
local_direct_final_test,6.0,5,50,204.01758448861068,True,False,False,2
local_direct_final_test,6.0,5,70,209.3195318069774,True,False,False,2
local_direct_final_test,6.0,5,80,217.5345802097581,True,False,False,2
local_direct_final_test,6.0,5,90,225.55812407517803,True,False,False,2
local_direct_final_test,6.0,5,95,232.86504639836485,True,False,False,2
local_direct_final_test,6.0,5,99,241.4234720848617,True,False,False,2
local_direct_final_test,7.0,1,50,240.04637749749236,False,True,False,1
local_direct_final_test,7.0,1,70,250.37399240827648,False,True,False,1
local_direct_final_test,7.0,1,80,257.70423719077365,False,True,False,1
local_direct_final_test,7.0,1,90,267.6491142017767,False,True,False,1
local_direct_final_test,7.0,1,95,280.35696354781965,False,True,False,1
local_direct_final_test,7.0,1,99,294.50166967551917,False,True,False,1
local_direct_final_test,7.0,2,50,240.04637749749236,True,True,True,0
local_direct_final_test,7.0,2,70,250.37399240827648,False,True,False,1
local_direct_final_test,7.0,2,80,257.70423719077365,False,True,False,1
local_direct_final_test,7.0,2,90,267.6491142017767,False,True,False,1
local_direct_final_test,7.0,2,95,280.35696354781965,False,True,False,1
local_direct_final_test,7.0,2,99,294.50166967551917,False,True,False,1
local_direct_final_test,7.0,3,50,240.04637749749236,True,True,True,0
local_direct_final_test,7.0,3,70,250.37399240827648,True,True,True,0
local_direct_final_test,7.0,3,80,257.70423719077365,True,True,True,0
local_direct_final_test,7.0,3,90,267.6491142017767,True,True,True,0
local_direct_final_test,7.0,3,95,280.35696354781965,True,True,True,0
local_direct_final_test,7.0,3,99,294.50166967551917,True,True,True,0
local_direct_final_test,7.0,4,50,240.04637749749236,True,True,True,0
local_direct_final_test,7.0,4,70,250.37399240827648,True,True,True,0
local_direct_final_test,7.0,4,80,257.70423719077365,True,True,True,0
local_direct_final_test,7.0,4,90,267.6491142017767,True,True,True,0
local_direct_final_test,7.0,4,95,280.35696354781965,True,True,True,0
local_direct_final_test,7.0,4,99,294.50166967551917,True,True,True,0
local_direct_final_test,7.0,5,50,240.04637749749236,True,True,True,0
local_direct_final_test,7.0,5,70,250.37399240827648,True,False,False,2
local_direct_final_test,7.0,5,80,257.70423719077365,True,False,False,2
local_direct_final_test,7.0,5,90,267.6491142017767,True,False,False,2
local_direct_final_test,7.0,5,95,280.35696354781965,True,False,False,2
local_direct_final_test,7.0,5,99,294.50166967551917,True,False,False,2
local_direct_final_test,7.0,6,50,240.04637749749236,True,False,False,2
local_direct_final_test,7.0,6,70,250.37399240827648,True,False,False,2
local_direct_final_test,7.0,6,80,257.70423719077365,True,False,False,2
local_direct_final_test,7.0,6,90,267.6491142017767,True,False,False,2
local_direct_final_test,7.0,6,95,280.35696354781965,True,False,False,2
local_direct_final_test,7.0,6,99,294.50166967551917,True,False,False,2
local_direct_final_test,8.0,1,50,276.06568099872675,False,True,False,1
local_direct_final_test,8.0,1,70,291.8074280867586,False,True,False,1
local_direct_final_test,8.0,1,80,298.42074300395325,False,True,False,1
local_direct_final_test,8.0,1,90,308.6051453865366,False,True,False,1
local_direct_final_test,8.0,1,95,317.8810190103831,False,True,False,1
local_direct_final_test,8.0,1,99,328.4961304784519,False,True,False,1
local_direct_final_test,8.0,2,50,276.06568099872675,False,True,False,1
local_direct_final_test,8.0,2,70,291.8074280867586,False,True,False,1
local_direct_final_test,8.0,2,80,298.42074300395325,False,True,False,1
local_direct_final_test,8.0,2,90,308.6051453865366,False,True,False,1
local_direct_final_test,8.0,2,95,317.8810190103831,False,True,False,1
local_direct_final_test,8.0,2,99,328.4961304784519,False,True,False,1
local_direct_final_test,8.0,3,50,276.06568099872675,True,True,True,0
local_direct_final_test,8.0,3,70,291.8074280867586,True,True,True,0
local_direct_final_test,8.0,3,80,298.42074300395325,True,True,True,0
local_direct_final_test,8.0,3,90,308.6051453865366,True,True,True,0
local_direct_final_test,8.0,3,95,317.8810190103831,True,True,True,0
local_direct_final_test,8.0,3,99,328.4961304784519,True,True,True,0
local_direct_final_test,8.0,4,50,276.06568099872675,True,True,True,0
local_direct_final_test,8.0,4,70,291.8074280867586,True,True,True,0
local_direct_final_test,8.0,4,80,298.42074300395325,True,True,True,0
local_direct_final_test,8.0,4,90,308.6051453865366,True,True,True,0
local_direct_final_test,8.0,4,95,317.8810190103831,True,True,True,0
local_direct_final_test,8.0,4,99,328.4961304784519,True,True,True,0
local_direct_final_test,8.0,5,50,276.06568099872675,True,True,True,0
local_direct_final_test,8.0,5,70,291.8074280867586,True,True,True,0
local_direct_final_test,8.0,5,80,298.42074300395325,True,True,True,0
local_direct_final_test,8.0,5,90,308.6051453865366,True,True,True,0
local_direct_final_test,8.0,5,95,317.8810190103831,True,True,True,0
local_direct_final_test,8.0,5,99,328.4961304784519,True,True,True,0
local_direct_final_test,8.0,6,50,276.06568099872675,True,False,False,2
