epoch,step,train_loss_epoch,train_loss_step,training/lr_epoch,training/lr_step,val_loss
0,5049,,1.1626527309417725,,9.999999747378752e-05,
0,5099,,1.2790193557739258,,9.999999747378752e-05,
0,5149,,1.2330716848373413,,9.999999747378752e-05,
0,5199,,1.295791745185852,,9.99999901978299e-05,
0,5249,,1.1598201990127563,,9.999998292187229e-05,
0,5299,,1.1673707962036133,,9.999997564591467e-05,
0,5349,,1.2711467742919922,,9.999996836995706e-05,
0,5399,,1.1918940544128418,,9.999996109399945e-05,
0,5449,,1.332434892654419,,9.999994654208422e-05,
0,5499,,1.2221527099609375,,9.99999392661266e-05,
0,5549,,1.2519217729568481,,9.999992471421137e-05,
0,5599,,1.130979299545288,,9.999991016229615e-05,
0,5649,,1.216273307800293,,9.999989561038092e-05,
0,5699,,1.1701529026031494,,9.999988105846569e-05,
0,5749,,1.2032742500305176,,9.999985923059285e-05,
0,5799,,1.1193829774856567,,9.999983740272e-05,
0,5849,,1.1739051342010498,,9.999982285080478e-05,
0,5899,,1.198920726776123,,9.999980102293193e-05,
0,5949,,1.1774508953094482,,9.999977191910148e-05,
0,5999,,1.3093183040618896,,9.999975009122863e-05,
0,5999,,,,,1.1722419261932373
0,6049,,1.1733946800231934,,9.999972826335579e-05,
0,6099,,1.1599266529083252,,9.999969915952533e-05,
0,6149,,1.0881128311157227,,9.999967005569488e-05,
0,6199,,1.1253594160079956,,9.999964095186442e-05,
0,6249,,1.148729681968689,,9.999961184803396e-05,
0,6299,,1.194089651107788,,9.99995754682459e-05,
0,6349,,1.2579295635223389,,9.999954636441544e-05,
0,6399,,1.1877074241638184,,9.999950998462737e-05,
0,6449,,1.1891050338745117,,9.99994736048393e-05,
0,6499,,1.175978183746338,,9.999943722505122e-05,
0,6549,,1.2460968494415283,,9.999940084526315e-05,
0,6599,,1.1394423246383667,,9.999936446547508e-05,
0,6649,,1.2044081687927246,,9.99993208097294e-05,
0,6699,,1.1091935634613037,,9.999927715398371e-05,
0,6749,,1.071641445159912,,9.999923349823803e-05,
0,6799,,1.0443146228790283,,9.999918984249234e-05,
0,6849,,1.071913480758667,,9.999914618674666e-05,
0,6899,,1.2176012992858887,,9.999910253100097e-05,
0,6949,,1.1223828792572021,,9.999905159929767e-05,
0,6999,,1.0866583585739136,,9.999900066759437e-05,
